item_id	occupation_count	occupation	description	in_google_news	language_detected	source	label	labeled_by	label_error_reason
82955	606008	politician	person involved in politics, person who holds or seeks positions in government	1	en	wikidata	1	human	
189290	33481	military officer	member of an armed force or uniformed service who holds a position of authority	0	en	wikidata	-1		
131512	8887	farmer	person that works in agriculture	1	da	wikidata	1	human	
1734662	2012	cartographer	person preparing geographical maps	1	ia	wikidata	1	human	
294126	323	land surveyor	profession	0	tr	wikidata	-1		
81096	34500	engineer	professional practitioner of engineering and its sub classes	1	nl	wikidata	1	human	
372436	3790	statesperson	politician in high government offices	1	it	wikidata	1	human	
5446967	29	field agent	agent who works in the field, as opposed to one who works at the office or headquarters	0	nl	wikidata	-1		
4991371	6642	soldier	one who serves as part of an organized armed force	1	fr	wikidata	1	human	
20085850	196	fictional vigilante		0	ia	wikidata	-1		
214917	12162	playwright	person who writes plays	1	en	wikidata	1	human	
28389	47247	screenwriter	writer who writes for TV, films, comics and games	1	en	wikidata	1	human	
6625963	23935	novelist	author or writer of novels	1	de	wikidata	1	human	
4853732	8370	children's writer	writer of literature targeted primarily at children	0	en	wikidata	-1		
18844224	5146	science fiction writer	person who writes works of science fiction	0	en	wikidata	-1		
245068	6568	comedian	person who seeks to entertain an audience, primarily by making them laugh	1	en	wikidata	1	human	
36180	245025	writer	person who uses written words to communicate ideas and to produce works of literature	1	en	wikidata	1	human	
40348	68532	lawyer	legal professional who helps clients and represents them in a court of law	1	Unknown	wikidata	1	human	
182436	8196	librarian	person who works professionally in a library, and is usually trained in librarianship	1	es	wikidata	1	human	
1265807	76	information scientist	profession	0	en	wikidata	-1		
205375	6487	inventor	person that devises a new device, method, composition, or process	1	it	wikidata	1	human	
10429346	595	bibliographer	person who describes and lists books and other publications	1	ia	wikidata	1	human	
15982858	561	motivational speaker	speaker intended to motivate the audience	1	en	wikidata	1	human	
18814623	2664	autobiographer	person who wrote their autobiography	1	ie	wikidata	1	human	
1028181	145927	painter	artist who practices painting	1	en	wikidata	1	human	
14089670	18700	rugby union player	sportsperson who plays rugby union	0	en	wikidata	-1		
43845	57444	businessperson	person involving in activities for the purpose of generating revenue	1	it	wikidata	1	human	
1979607	941	financier	person who makes their living from investments	1	es	wikidata	1	human	
49757	79887	poet	person who writes and publishes poetry	1	sq	wikidata	1	human	
4164507	1692	art critic	person who specializes in evaluating art	0	en	wikidata	-1		
11774202	4488	essayist	person who writes essays	1	nl	wikidata	1	human	
333634	33639	translator	person who translates text from one language to another	1	ro	wikidata	1	human	
482980	34730	author	author or intellectual author of a linguistic work	1	en	wikidata	1	human	
4263842	8774	literary critic	cultural journalist who reviews new literary books	1	en	wikidata	1	human	
11063	7344	astronomer	scientist who studies celestial bodies	1	sv	wikidata	1	human	
185351	21787	jurist	legal scholar or academic, a professional who studies, teaches, and develops law	1	en	wikidata	1	human	
188094	31602	economist	professional in the social science discipline of economics	1	en	wikidata	1	human	
170790	20756	mathematician	person with an extensive knowledge of mathematics	1	en	wikidata	1	human	
16012028	1371	legal scholar	researcher whose focus is on legal issues	0	la	wikidata	-1		
169470	20367	physicist	scientist who does research in physics	1	en	wikidata	1	human	
4964182	19892	philosopher	person with an extensive knowledge of philosophy	1	en	wikidata	1	human	
39631	44308	physician	professional who practices medicine	1	en	wikidata	1	human	
193391	39416	diplomat	person appointed by a state to conduct diplomacy with another state or international organization	1	br	wikidata	1	human	
483501	39667	artist	person who creates, practises and/or demonstrates any art	1	de	wikidata	1	human	
177220	92198	singer	person singing for a listening audience	1	da	wikidata	1	human	
488205	14692	singer-songwriter	musician who writes, composes and sings	0	vi	wikidata	-1		
2526255	52479	film director	occupation of a person who directs a film	0	tr	wikidata	-1		
639669	55463	musician	person who performs or composes music	1	es	wikidata	1	human	
855091	14051	guitarist	person who plays the guitar	1	en	wikidata	1	human	
183945	13998	record producer	individual who oversees and manages the recording of an artist's music	0	ia	wikidata	-1		
33999	220615	actor	person who acts in a dramatic or comic production and works in film, television, theatre, or radio	1	ia	wikidata	1	human	
753110	19276	songwriter	person who writes the words or music (or both) to songs	1	en	wikidata	1	human	
486748	18829	pianist	musician who plays the piano	1	nl	wikidata	1	human	
10800557	62347	film actor	actor who appears in films or movies	0	en	wikidata	-1		
33231	35569	photographer	person who takes photographs	1	en	wikidata	1	human	
41546637	254	Wikimedian	contributor in the Wikimedia movement	0	Unknown	wikidata	-1		
1209498	884	poet lawyer	poet with legal training	0	is	wikidata	-1		
7042855	6206	film editor	person who works with the raw footage, selecting shots and combining them into sequences to create a finished motion picture	0	ia	wikidata	-1		
864380	4136	biographer	person who creates biographies	1	nn	wikidata	1	human	
3387717	8854	theater director	person overseeing the mounting of a theatre production	0	en	wikidata	-1		
26237228	204	epigrammatist		0	nl	wikidata	-1		
2259451	29815	stage actor	actor who performs live before an in-person audience	0	en	wikidata	-1		
10798782	41106	television actor	actor who performs on television	0	ia	wikidata	-1		
2405480	12490	voice actor	person who provides voice-overs for a character in films, animation, video games or in other media	0	en	wikidata	-1		
3282637	24072	film producer	person who supervises the overall process, creative and financial, of making a film	0	en	wikidata	-1		
201788	56593	historian	scholar who deals with the exploration and presentation of history	1	es	wikidata	1	human	
1476215	2765	human rights activist	person who, individually or with others, acts to promote or protect some variation of human rights	0	en	wikidata	-1		
16742096	1012	nuclear physicist	physicist in nuclear science	0	en	wikidata	-1		
47064	75494	military personnel	member of the armed forces	0	it	wikidata	-1		
2095549	6958	aircraft pilot	person controlling an aircraft in flight	0	en	wikidata	-1		
36834	78434	composer	person who creates music, either by musical notation or oral tradition	1	oc	wikidata	1	human	
1930187	117705	journalist	person who collects, writes and distributes news and other information	1	fr	wikidata	1	human	
1350157	1818	music critic	profession	0	en	wikidata	1	human	
8178443	1531	librettist	author of the libretto (words) of an opera similar extended musical composition	1	da	wikidata	1	human	
214970	15	virtuoso	individual who possesses outstanding technical ability in a particular art or field	1	Unknown	wikidata	1	human	
2914170	272	street artist	artist performing in public places, for gratuities	0	en	wikidata	-1		
42759	19	Mujahid	Muslim who struggles in the path of Allah	1	rn	wikidata	0	human	
13582652	4510	civil engineer	engineer specialising in design, construction and maintenance of the built environment	0	nl	wikidata	-1		
1238570	7229	political scientist	occupation	0	en	wikidata	-1		
1622272	101818	university teacher	person teaching at a university	0	en	wikidata	-1		
2306091	9149	sociologist	scientist working in sociology	1	en	wikidata	1	human	
3630699	624	game designer	person who designs games or video games	0	da	wikidata	-1		
54845077	569	role-playing game designer	someone who designs role-playing games	0	en	wikidata	-1		
18939491	875	diarist	person who writes a personal journal	1	ku	wikidata	1	human	
2304859	2242	sovereign	leader of a monarchy	1	da	wikidata	0	human	
15986539	559	sports official	official in a sports organization	0	en	wikidata	-1		
4439155	2140	long-distance runner	sportsperson who runs for distances longer than 3000 metres	0	Unknown	wikidata	-1		
11513337	32633	athletics competitor	sportsperson that competes in athletics (track and field, running, walking)	0	en	wikidata	-1		
17405793	278	racewalker	sportsperson taking part in racewalking events	1	da	wikidata	1	human	
18534714	375	shot putter	sportsperson competing in shot put	0	en	wikidata	-1		
14605941	58	combined track and field event athlete	athlete taking part in combined track and field events	0	en	wikidata	0	human	
937857	259012	association football player	person who plays association football (soccer)	0	en	wikidata	-1		
4144610	4502	alpine skier	sportsperson taking part in alpine skiing competitions	1	fr	wikidata	1	human	
16574916	12	ski instructor		0	ia	wikidata	-1		
19595175	10794	amateur wrestler	"sportsperson specialized in amateur wrestling (excluding the so-called ""professional wrestling"", see Q13474373)"	0	kw	wikidata	-1		
11124885	944	martial artist	person who practises a martial art	0	en	wikidata	-1		
806798	9023	banker	person who works in banking	1	da	wikidata	1	human	
2722764	8344	radio personality	person who has an on-air position in radio broadcasting	0	ia	wikidata	-1		
1397808	3376	resistance fighter	fighter who is resisting an occupying force	0	en	wikidata	-1		
1076502	2013	choir director	person who directs a choir	0	ga	wikidata	-1		
1415090	2703	film score composer	musical profession	0	it	wikidata	-1		
1259917	5552	violinist	person who plays the violin	1	en	wikidata	1	human	
16145150	8912	music pedagogue	profession and academic title	0	ca	wikidata	-1		
130857	4961	disc jockey	person who plays recorded music for an audience	1	en	wikidata	1	cleanlab	
2059704	3647	television director	person who directs television programs	0	ia	wikidata	-1		
