occupation_item_id	occupation_counts	en_label	en_description
82955	606008	politician	person involved in politics, person who holds or seeks positions in government
189290	33481	military officer	member of an armed force or uniformed service who holds a position of authority
131512	8887	farmer	person that works in agriculture
1734662	2012	cartographer	person preparing geographical maps
294126	323	land surveyor	profession
81096	34500	engineer	professional practitioner of engineering and its sub classes
372436	3790	statesperson	politician in high government offices
5446967	29	field agent	agent who works in the field, as opposed to one who works at the office or headquarters
4991371	6642	soldier	one who serves as part of an organized armed force
20085850	196	fictional vigilante	
214917	12162	playwright	person who writes plays
28389	47247	screenwriter	writer who writes for TV, films, comics and games
6625963	23935	novelist	author or writer of novels
4853732	8370	children's writer	writer of literature targeted primarily at children
18844224	5146	science fiction writer	person who writes works of science fiction
245068	6568	comedian	person who seeks to entertain an audience, primarily by making them laugh
36180	245025	writer	person who uses written words to communicate ideas and to produce works of literature
40348	68532	lawyer	legal professional who helps clients and represents them in a court of law
182436	8196	librarian	person who works professionally in a library, and is usually trained in librarianship
1265807	76	information scientist	profession
205375	6487	inventor	person that devises a new device, method, composition, or process
10429346	595	bibliographer	person who describes and lists books and other publications
15982858	561	motivational speaker	speaker intended to motivate the audience
18814623	2664	autobiographer	person who wrote their autobiography
1028181	145927	painter	artist who practices painting
14089670	18700	rugby union player	sportsperson who plays rugby union
43845	57444	businessperson	person involving in activities for the purpose of generating revenue
1979607	941	financier	person who makes their living from investments
49757	79887	poet	person who writes and publishes poetry
4164507	1692	art critic	person who specializes in evaluating art
11774202	4488	essayist	person who writes essays
333634	33639	translator	person who translates text from one language to another
482980	34730	author	author or intellectual author of a linguistic work
4263842	8774	literary critic	cultural journalist who reviews new literary books
11063	7344	astronomer	scientist who studies celestial bodies
185351	21787	jurist	legal scholar or academic, a professional who studies, teaches, and develops law
188094	31602	economist	professional in the social science discipline of economics
170790	20756	mathematician	person with an extensive knowledge of mathematics
16012028	1371	legal scholar	researcher whose focus is on legal issues
169470	20367	physicist	scientist who does research in physics
4964182	19892	philosopher	person with an extensive knowledge of philosophy
39631	44308	physician	professional who practices medicine
193391	39416	diplomat	person appointed by a state to conduct diplomacy with another state or international organization
483501	39667	artist	person who creates, practises and/or demonstrates any art
177220	92198	singer	person singing for a listening audience
488205	14692	singer-songwriter	musician who writes, composes and sings
2526255	52479	film director	occupation of a person who directs a film
639669	55463	musician	person who performs or composes music
855091	14051	guitarist	person who plays the guitar
183945	13998	record producer	individual who oversees and manages the recording of an artist's music
33999	220615	actor	person who acts in a dramatic or comic production and works in film, television, theatre, or radio
753110	19276	songwriter	person who writes the words or music (or both) to songs
486748	18829	pianist	musician who plays the piano
10800557	62347	film actor	actor who appears in films or movies
33231	35569	photographer	person who takes photographs
41546637	254	Wikimedian	contributor in the Wikimedia movement
1209498	884	poet lawyer	poet with legal training
7042855	6206	film editor	person who works with the raw footage, selecting shots and combining them into sequences to create a finished motion picture
864380	4136	biographer	person who creates biographies
3387717	8854	theater director	person overseeing the mounting of a theatre production
26237228	204	epigrammatist	
2259451	29815	stage actor	actor who performs live before an in-person audience
10798782	41106	television actor	actor who performs on television
2405480	12490	voice actor	person who provides voice-overs for a character in films, animation, video games or in other media
3282637	24072	film producer	person who supervises the overall process, creative and financial, of making a film
201788	56593	historian	scholar who deals with the exploration and presentation of history
1476215	2765	human rights activist	person who, individually or with others, acts to promote or protect some variation of human rights
16742096	1012	nuclear physicist	physicist in nuclear science
47064	75494	military personnel	member of the armed forces
2095549	6958	aircraft pilot	person controlling an aircraft in flight
36834	78434	composer	person who creates music, either by musical notation or oral tradition
1930187	117705	journalist	person who collects, writes and distributes news and other information
158852	16771	conductor	person who directs a musical group during a performance
1350157	1818	music critic	profession
8178443	1531	librettist	author of the libretto (words) of an opera similar extended musical composition
214970	15	virtuoso	individual who possesses outstanding technical ability in a particular art or field
2914170	272	street artist	artist performing in public places, for gratuities
42759	19	Mujahid	Muslim who struggles in the path of Allah
13582652	4510	civil engineer	engineer specialising in design, construction and maintenance of the built environment
1238570	7229	political scientist	occupation
1622272	101818	university teacher	person teaching at a university
2306091	9149	sociologist	scientist working in sociology
3630699	624	game designer	person who designs games or video games
54845077	569	role-playing game designer	someone who designs role-playing games
18939491	875	diarist	person who writes a personal journal
2304859	2242	sovereign	leader of a monarchy
15986539	559	sports official	official in a sports organization
4439155	2140	long-distance runner	sportsperson who runs for distances longer than 3000 metres
11513337	32633	athletics competitor	sportsperson that competes in athletics (track and field, running, walking)
17405793	278	racewalker	sportsperson taking part in racewalking events
18534714	375	shot putter	sportsperson competing in shot put
14605941	58	combined track and field event athlete	athlete taking part in combined track and field events
937857	259012	association football player	person who plays association football (soccer)
4144610	4502	alpine skier	sportsperson taking part in alpine skiing competitions
16574916	12	ski instructor	
599151	5213	official	someone who holds an office
19595175	10794	amateur wrestler	"sportsperson specialized in amateur wrestling (excluding the so-called ""professional wrestling"", see Q13474373)"
11124885	944	martial artist	person who practises a martial art
11224008	2	fighter	someone who fights (as a sport or in a combat)
806798	9023	banker	person who works in banking
2722764	8344	radio personality	person who has an on-air position in radio broadcasting
16157720	10		
1397808	3376	resistance fighter	fighter who is resisting an occupying force
1076502	2013	choir director	person who directs a choir
1415090	2703	film score composer	musical profession
1259917	5552	violinist	person who plays the violin
16145150	8912	music pedagogue	profession and academic title
130857	4961	disc jockey	person who plays recorded music for an audience
2059704	3647	television director	person who directs television programs
11338576	15163	boxer	sportsperson taking part in boxing competitions
551835	563	physician writer	physicians who write creatively in fields outside their practice of medicine
23833535	2461	French Resistance fighter	
121594	12119	professor	academic title at universities and other education and research institutions
628099	25695	association football manager	team manager in association football (soccer)
733786	3491	monk	member of a monastic religious order
4504549	2217	religious servant	member of a religious community
18921227	194	ufologist	person who specializes in ufology
12859263	379	orator	public speaker
1234713	19193	theologian	person who studies theology
15077007	792	podcaster	person who creates podcasts
15978655	659	consultant	professional who provides advice in their specific field of expertise
15980158	6820	non-fiction writer	author who writes non-fiction texts
219477	6070	missionary	member of a religious group sent into an area to do evangelism
1747339	16	trobairitz	Occitan female troubadours of the 12th and 13th centuries
2478141	7108	aristocrat	person who either possess hereditary titles granted by a monarch or are related to such people
15981151	9437	jazz musician	musician who plays jazz
17486376	3604	sport shooter	person who does sport shooting
3665646	34680	basketball player	sportsperson taking part in basketball competitions
1996467	24	trouvère	
767975	3	Goliard	
2251335	1940	school teacher	teacher in primary or secondary education
2629392	957	puppeteer	person who manipulates a puppet in real time to create the illusion of life
16402890	242	draughts player	person who plays draughts professionally
350979	10426	zoologist	someone who studies or practices zoology
16868721	1273	carcinologist	scientist who studies crustaceans
186370	491	troubadour	composer and performer of Old Occitan lyric poetry during the High Middle Ages
1250916	697	warrior	person specializing in combat or warfare
864503	8907	biologist	scientist studying living organisms
12800682	3525	saxophonist	musician who plays the saxophone
674067	193	mime artist	someone who uses mime as a theatrical medium or performance art
2643890	904	vocalist	artist using his/her voice as an instrument
13235160	2056	producer	individual or organization that creates goods and services
12797895	97	occultist	occupation; study of occult practices
2340668	298	music video director	person who directs the music artist, the actors and film crew in making music videos
3068305	500	salonnière	person who organizes or hosts a salon
329439	5205	engraver	person with the profession of engraving
998628	586	illuminator	artist who illustrates books and manuscripts
13365770	719	copperplate engraver	person who creates copper plates by engraving lines on them
17391638	37	art theorist	profession that works in the field of art theory
15296811	11185	drawer	person who makes drawings (artist/cartoonist/drafter/illustrator)
1437754	167	xylographer	person who designs a wooden plate for printing
644687	13792	illustrator	narrative artist who makes images for printed and electronic products
33082999	105	ukiyo-e artist	Person who drew Ukiyo-e
4610556	20946	model	person employed to display, advertise and promote products, or to serve as a visual aid
208762	324	chaplain	minister of a religious tradition who is attached to an institution
63253698	195	dominican friar	member of Dominican Order
822146	6518	lyricist	writer who specializes in writing song lyrics
13381753	1511	middle-distance runner	sportsperson taking part in running competitions over distances of at least 800 metres up to 3000 metres
3427922	1135	restaurateur	person who opens and runs restaurants professionally
55960555	847	recording artist	person, musician who performs music for recordings
947873	16759	television presenter	person who introduces or hosts television programs
512314	1189	socialite	person of prominence with a high social position in upper class society
2066131	23950	athlete	person who participates regularly in a sport
18510502	843	javelin thrower	sportsperson taking part in javelin throw competitions
593644	17414	chemist	scientist trained in the study of chemistry
18930007	69	political philosopher	
11499147	947	political activist	activist wanting political change
3589292	13	women letter writer	
34074720	1638	feminist	person who defends feminism
116	2945	monarch	person at the head of a monarchy
22073916	85	tragedy writer	
10843402	12954	swimmer	sportsperson taking part in swimming competitions
2919046	3353	biochemist	scientist specialized in biochemistry
215536	5976	merchant	businessperson who trades in commodities that were produced by others
21694268	114	amateur photographer	
48282	1301	student	learner, or someone who attends an educational institution
806349	1415	bandleader	leader of a band of musicians
15142825	279	crystallographer	person who studies crystallography
14906342	531	biophysicist	profession
1650915	488772	researcher	person who engages in research, professionally or otherwise
181888	38	khan	Turkic and Mongol governor title
82594	7988	computer scientist	scientist specializing in computer science
13382608	3700	cross-country skier	sportsperson taking part in cross-country skiing competitions
12144794	1263	prosaist	person who writes in prose
27214348	27	inspector	person who performs inspections
1097498	1393	ruler	person who reigns over a certain region or country
1281618	33753	sculptor	artist specializing in sculpture
151197	496	combat engineer	military vocation
1792450	10441	art historian	humanist who is engaged in history of art
14467526	13819	linguist	expert in human languages
28004591	458	professeur des universités	"type of position in french university, that gives the ""professor"" title"
37226	33557	teacher	person who helps others to acquire knowledge, competences or values
13724897	607	hurdler	sportsperson taking part in hurdling events
1925963	2951	graphic artist	artist who makes lines on paper through various drawing and print techniques, or the digital equivalent
10862983	1599	etcher	"artist who practices the ""art of etching"""
155647	971	astrologer	person who practices astrology
11303721	4825	golfer	someone who plays golf
42973	43018	architect	person trained to plan and design buildings, and oversee their construction
12059906	68	herder	person who tends, feeds, or guards herds of various domestic animals in places where these animals wander pasture lands
12571597	1	forwarding agent	
168827	8	prophets of Islam	Apostles who preach the news of what comes from the revelation and Sharia
432386	1188	preacher	person who delivers sermons or gives homilies
1402561	8586	military leader	profession
15895020	1612	aerospace engineer	engineering profession
901	29163	scientist	person that studies a science
60728070	1	Teacher	"character in the play ""The visit"""
24262584	639	Bible translator	person translating the Bible
13424456	934	hymnwriter	person who writes words, or both words and music, for religious songs
763779	18	Protestant reformer	occupation
